Date,AvgTemp,LowTemp,HighTemp,Precipitation,MaxWindSpeed,MaxWindDirection,AvgWindSpeed,AvgRelativeHumidity,AvgSteamPressure,DaylightHours,CloudAmount,EvaporationLoss
1907-10-01,13.5,7.9,20.7,,3.7,270,2.5,67.7,9.6,9.8,1.3,3.7
1907-10-02,16.2,7.9,22,0.2,2.2,270,1.1,74.7,13.2,5.2,7.3,2.5
1907-10-03,16.2,13.1,21.3,2.4,6.2,270,2.3,82,14.5,10,5.7,5.2
1907-10-04,16.5,11.2,22,,1.7,90,1.3,82.3,14.8,4,6.7,2
1907-10-05,17.6,10.9,25.4,,2.4,90,1.7,72,13.5,10,0.3,4
1907-10-06,13,11.2,21.3,24.8,6.2,230,2.8,84.3,12.5,4.2,3.3,1.5
1907-10-07,11.3,6.3,16.1,,3.7,230,3.9,58,7.6,10.8,0,4.2
1907-10-08,8.9,3.9,14.9,,0.6,50,0.9,88.3,10,4.6,7,1.3
1907-10-09,11.6,3.8,21.1,,1.9,110,1,77.7,10.1,10.8,0,2.9
1907-10-10,14.2,6.4,24.1,,1.9,160,1.7,77.3,11.8,10.9,0,3.7
1907-10-11,15.4,10.1,20.4,0,3.8,320,1.2,88.7,15.6,2.7,10,2.1
1907-10-12,13.9,11.1,17.4,1.6,5.6,50,1.2,91.3,14.4,0.1,6.7,0.4
1907-10-13,13.8,8.3,21.3,,2.9,230,1.7,92.7,15.2,10.4,1.3,3.3
1907-10-14,13,6.1,20.6,,3.4,270,1.9,73.3,10.3,10,1.7,3.7
1907-10-15,13.1,5.7,20.9,,1.2,270,1.3,71.7,10.4,10.1,1.3,3.3
1907-10-16,14.1,8.2,20.2,,5.8,140,1.3,79.3,12.2,5.3,5,2.5
1907-10-17,16.4,10.3,21.6,,5.8,140,4.7,61.3,10.7,9.2,2.7,4.4
1907-10-18,14.3,9.8,20.9,,4.4,90,3.5,68.7,10.7,9.2,2.7,4.6
1907-10-19,13.9,6.7,21.3,,1.7,110,1.1,70,10.6,9.5,4.3,3.1
1907-10-20,18.3,12.4,22.7,,7.5,90,5.3,54.7,11.3,8.2,6,5.4
1907-10-21,15.2,10.7,19.9,1.7,1.7,320,3.3,82,13.7,5.4,9.7,3.3
1907-10-22,15.4,12.1,19.6,8.8,3.2,160,3,79.3,13.5,3.5,7,2.2
1907-10-23,13.1,8.1,16.3,6.4,8.5,320,4,60.3,9,9.5,3.3,3.4
1907-10-24,9.7,3.3,17.1,,2.4,270,1.8,71.3,8,10.3,2,3.5
1907-10-25,12.7,6.2,18.7,0.5,3.2,270,1.9,79.7,11.4,7.6,10,2.6
1907-10-26,11.8,7.2,18.2,0,3.6,290,1.2,77.7,10.1,8.6,7.7,2.3
1907-10-27,14,7.7,20.7,,2.5,180,1.6,69.7,10.5,10.2,3.7,2.4
1907-10-28,13.8,8.4,19.6,0.5,6.5,270,2.2,81,12.3,5.8,7,1.8
1907-10-29,14.3,10.7,20,0.1,6.1,270,2.2,74.3,11.4,6.6,2.3,3.1
1907-10-30,12.2,6.7,20.1,,3.7,230,1.8,78.7,10.3,9.9,2.3,3
1907-10-31,13.4,5.2,20.3,,5.4,270,1.7,75.7,11.2,8.9,2,2.8
1907-11-01,16.1,11.7,21.3,,3.9,230,2.2,76,13.3,7.9,10,2.8
1907-11-02,14.2,9.1,21.1,9.1,6.4,230,3.6,68.3,10.7,4.6,10,4.3
1907-11-03,6.4,2.3,11.1,,7.7,270,2.9,51.7,4.8,7.6,4.7,4.4
1907-11-04,5.9,-1,13.6,,0.7,180,1.5,70.3,6.3,9.2,3.7,2.2
1907-11-05,8.6,1.7,17,0,2.7,270,1.1,80,8.5,8.7,3,2.3
1907-11-06,9.5,3.6,18.1,,3.7,110,1.5,75.3,8.3,8.9,4.3,2.2
1907-11-07,5.7,0,12.4,4.3,11,320,5.1,79.7,7.9,2.7,10,2.4
1907-11-08,4.1,-0.7,9.4,,3.1,270,1.6,80.3,6.4,8.6,0,2.1
1907-11-09,6.9,0.7,11.9,0.3,4.9,270,1.1,78.7,7.7,6.3,5,1.7
1907-11-10,7.9,1.7,13.2,0,1.6,270,0.6,70,7,9.1,6,1.7
1907-11-11,10.3,8.2,13.4,19.3,3,140,3.4,87,10.7,1,6.7,2.1
1907-11-12,9.9,5.4,14.9,,4.2,360,1.9,82.7,9.7,8.9,1.7,1.8
1907-11-13,9.5,3.7,16.4,,0.2,50,0.6,82,9.3,9.1,2,1.5
1907-11-14,9.5,5.1,15.2,,0.3,110,1,89,10.4,3,3.7,0.6
1907-11-15,11.3,3.9,17.6,,2.2,270,1.3,80.3,10.4,6.7,6.7,1.5
1907-11-16,11.6,10.1,12.6,5.4,1.8,90,1.3,88,12,0,9,0.2
1907-11-17,6.6,0.7,11.7,,8.4,320,6.9,76,7.8,6.4,8.7,1.3
1907-11-18,0.6,-2.7,6.7,,3.1,250,2.4,80.7,5,8.7,4,2.1
1907-11-19,0.4,-2.5,4.3,,3.2,110,1.5,82.3,5.2,0,10,0.6
1907-11-20,2.7,-1.2,7.1,,7.1,320,2.3,62.3,4.5,8.9,8,1.9
1907-11-21,2.2,-3.5,6.2,,2.8,90,1.7,65.3,4.4,6.9,8,1
1907-11-22,8.9,3.2,11.2,0,6.1,90,5.9,60.3,6.8,0.3,10,3.2
1907-11-23,7.7,5.9,9.9,11.9,4.4,320,4.7,91.3,9.5,0,10,1.8
1907-11-24,-1.1,-5,5.9,,10.2,320,7.3,73.7,4.1,8.8,4.3,2.2
1907-11-25,-4.5,-7.3,-0.7,,0.2,340,2,88,3.8,8.5,0,1.8
1907-11-26,-1,-5.7,1.5,0.5,4.9,110,2.5,84.7,4.9,0,8.3,1.9
1907-11-27,-1.1,-6.1,1.9,,14.7,320,4.1,70.7,3.8,6.6,6,2.5
1907-11-28,-2.7,-8.5,2,,2.7,110,1.2,79,3.9,8.2,2,1.5
1907-11-29,-0.2,-4.6,2.9,3.6,4,320,2.9,78,4.9,0.8,7.3,0.9
1907-11-30,-6.6,-8.9,-2.4,,11.4,320,5.5,64,2.3,8.9,0,2.3
1907-12-01,-4.6,-10.5,1.4,,5.1,320,1.7,82.3,3.8,8.7,0,1.9
1907-12-02,-3.1,-9,3.4,,2.4,140,1,71.3,3.2,8.4,3.3,1.3
1907-12-03,1.9,-2.6,6.1,0.2,5.8,250,1.3,74.7,5.1,5.2,6.3,1.4
1907-12-04,-1.2,-2.7,1.3,,5.9,320,3.3,60.3,3.3,5.5,5.3,1.5
1907-12-05,-1,-6.9,2.6,0,2.3,110,2.1,74.3,4.2,4.6,6.7,1.3
1907-12-06,-1.3,-6.1,5.8,2.1,5.7,320,5.8,48,2.7,8.9,0,2.6
1907-12-07,-4.1,-9.3,1.9,,1.9,90,1,82,3.8,8.6,1.7,1.6
1907-12-08,-1.1,-7.2,6.6,,1.6,140,1,70.7,3.8,8.3,0,1.7
1907-12-09,3.2,-4.3,8.1,2.3,6.6,320,1.3,71.7,5.4,5,6.3,1.2
1907-12-10,-1.4,-5.1,4.3,,6.5,320,5.3,67.7,3.6,8.5,0,1.9
